trade_date,amd_tag,asian_range_pips,asian_net_pips,asian_is_flat,judas_direction,judas_pips,reversal_confirmed,compression_breakout,delayed_distribution,layer4_d1_bias,layer4_bullish_count,layer4_bearish_count,daily_bias_alignment
2025-05-01,AMD_SHIFTED,43,-26,true,DOWN,10,false,false,false,TRENDING_DOWN,2,3,CONFLICTED
2025-05-02,AMD_SHIFTED,41,29,true,UP,30,false,true,false,TRENDING_UP,3,2,CONFLICTED
2025-05-05,AMD_NONE,54,22,true,UP,27,false,true,false,TRENDING_UP,3,2,CONFLICTED
2025-05-06,AMD_TEXTBOOK,28,-3,true,DOWN,21,true,false,false,TRENDING_UP,4,1,ALIGNED
2025-05-07,AMD_SHIFTED,39,-20,false,DOWN,19,false,true,false,TRENDING_UP,3,2,ALIGNED
2025-05-08,AMD_NONE,62,-11,true,DOWN,13,false,false,false,TRENDING_UP,3,2,ALIGNED
2025-05-09,AMD_SHIFTED,44,17,true,DOWN,13,true,true,false,TRENDING_UP,3,2,ALIGNED
2025-05-12,AMD_NONE,70,-14,true,UP,10,true,false,false,TRENDING_DOWN,2,3,ALIGNED
2025-05-13,AMD_NONE,58,36,true,DOWN,8,true,false,false,TRENDING_DOWN,2,3,CONFLICTED
2025-05-14,AMD_TEXTBOOK,24,16,true,UP,13,true,false,false,TRENDING_DOWN,2,3,ALIGNED
2025-05-15,AMD_SHIFTED,43,-8,true,UP,5,true,false,false,TRENDING_DOWN,2,3,ALIGNED
2025-05-16,AMD_SHIFTED,42,24,false,DOWN,9,false,true,false,TRENDING_DOWN,1,4,CONFLICTED
2025-05-19,AMD_COMPRESSION_BREAKOUT,32,16,true,UP,21,false,true,false,TRENDING_DOWN,2,3,ALIGNED
2025-05-20,AMD_SHIFTED,47,-30,true,DOWN,9,false,true,false,TRENDING_DOWN,1,4,CONFLICTED
2025-05-21,AMD_SHIFTED,36,23,true,DOWN,13,false,false,false,TRENDING_DOWN,2,3,CONFLICTED
2025-05-22,AMD_COMPRESSION_BREAKOUT,26,16,true,DOWN,26,false,true,false,TRENDING_DOWN,2,3,CONFLICTED
2025-05-23,AMD_SHIFTED,48,44,false,UP,11,false,false,false,TRENDING_UP,3,2,CONFLICTED
2025-05-26,AMD_SHIFTED,39,9,true,DOWN,10,false,false,false,TRENDING_DOWN,2,3,CONFLICTED
2025-05-27,AMD_NONE,50,-33,false,UP,10,true,false,false,TRENDING_DOWN,2,3,ALIGNED
2025-05-28,AMD_TEXTBOOK,29,-8,true,UP,9,true,false,false,TRENDING_DOWN,1,4,ALIGNED
2025-05-29,AMD_SHIFTED,42,27,true,DOWN,14,true,true,false,TRENDING_DOWN,2,3,CONFLICTED
2025-05-30,AMD_SHIFTED,45,-26,true,DOWN,6,false,false,false,TRENDING_DOWN,1,4,CONFLICTED
2025-06-02,AMD_SHIFTED,47,38,false,DOWN,5,true,false,false,TRENDING_DOWN,2,3,CONFLICTED
2025-06-03,AMD_SHIFTED,49,-40,false,DOWN,7,false,false,false,TRENDING_DOWN,2,3,CONFLICTED
2025-06-04,AMD_COMPRESSION_BREAKOUT,29,-3,true,UP,18,false,true,false,TRENDING_UP,3,2,CONFLICTED
2025-06-05,AMD_COMPRESSION_BREAKOUT,23,11,true,UP,13,false,true,false,TRENDING_UP,3,2,CONFLICTED
2025-06-06,AMD_FAILED,24,-10,true,DOWN,13,false,false,false,TRENDING_UP,3,2,ALIGNED
2025-06-09,AMD_SHIFTED,26,20,false,UP,15,true,false,false,TRENDING_UP,3,2,CONFLICTED
2025-06-10,AMD_SHIFTED,40,-16,true,UP,17,false,true,false,TRENDING_UP,4,1,CONFLICTED
2025-06-11,AMD_TEXTBOOK,32,-17,true,UP,8,true,true,false,TRENDING_UP,3,2,CONFLICTED
2025-06-12,AMD_SHIFTED,34,-27,false,UP,24,false,true,false,TRENDING_UP,3,2,CONFLICTED
2025-06-13,AMD_NONE,71,-45,true,UP,14,true,false,false,TRENDING_UP,3,2,CONFLICTED
2025-06-16,AMD_SHIFTED,47,15,true,UP,9,false,true,false,TRENDING_UP,3,2,CONFLICTED
2025-06-17,AMD_SHIFTED,41,25,false,DOWN,11,true,true,false,TRENDING_DOWN,2,3,CONFLICTED
2025-06-18,AMD_SHIFTED,37,17,true,UP,6,true,false,false,TRENDING_UP,3,2,CONFLICTED
2025-06-19,AMD_SHIFTED,49,-42,false,UP,15,true,false,false,TRENDING_DOWN,2,3,ALIGNED
2025-06-20,AMD_TEXTBOOK,23,0,true,UP,10,true,false,false,TRENDING_DOWN,2,3,ALIGNED
2025-06-23,AMD_SHIFTED,49,-25,true,DOWN,41,false,true,false,TRENDING_DOWN,2,3,CONFLICTED
2025-06-24,AMD_SHIFTED,42,16,true,UP,22,true,true,false,TRENDING_UP,3,2,CONFLICTED
2025-06-25,AMD_COMPRESSION_BREAKOUT,18,2,true,DOWN,8,false,true,false,TRENDING_UP,3,2,ALIGNED
2025-06-26,AMD_COMPRESSION_BREAKOUT,28,13,true,UP,17,false,true,false,TRENDING_UP,4,1,CONFLICTED
2025-06-27,AMD_COMPRESSION_BREAKOUT,21,2,true,DOWN,9,false,true,false,TRENDING_UP,4,1,ALIGNED
2025-06-30,AMD_TEXTBOOK,25,2,true,DOWN,9,true,false,false,TRENDING_UP,4,1,ALIGNED
2025-07-01,AMD_TEXTBOOK,34,11,true,DOWN,9,true,true,false,TRENDING_UP,4,1,ALIGNED
2025-07-02,AMD_FAILED,21,-17,true,UP,4,true,false,false,TRENDING_UP,4,1,CONFLICTED
2025-07-03,AMD_FAILED,24,-5,true,UP,6,true,false,false,TRENDING_UP,3,2,CONFLICTED
2025-07-04,AMD_FAILED,30,-22,true,UP,6,true,false,false,TRENDING_UP,3,2,CONFLICTED
2025-07-07,AMD_NONE,53,-46,false,DOWN,18,false,false,false,TRENDING_DOWN,2,3,CONFLICTED
2025-07-08,AMD_NONE,52,37,true,DOWN,7,false,true,false,TRENDING_DOWN,2,3,CONFLICTED
2025-07-09,AMD_SHIFTED,35,1,true,UP,10,true,true,false,TRENDING_DOWN,2,3,ALIGNED
2025-07-10,AMD_TEXTBOOK,29,19,true,UP,9,true,false,false,TRENDING_UP,3,2,CONFLICTED
2025-07-11,AMD_SHIFTED,38,-8,true,DOWN,15,true,true,false,TRENDING_UP,3,2,ALIGNED
2025-07-14,AMD_COMPRESSION_BREAKOUT,32,-3,true,DOWN,10,false,true,false,TRENDING_UP,3,2,ALIGNED
2025-07-15,AMD_FAILED,29,23,true,DOWN,5,true,true,false,TRENDING_DOWN,2,3,CONFLICTED
2025-07-16,AMD_COMPRESSION_BREAKOUT,19,7,true,DOWN,9,false,true,false,TRENDING_DOWN,2,3,CONFLICTED
2025-07-17,AMD_NONE,62,-58,false,UP,10,true,false,false,TRENDING_DOWN,1,4,ALIGNED
2025-07-18,AMD_COMPRESSION_BREAKOUT,16,14,true,UP,10,false,true,false,TRENDING_DOWN,2,3,ALIGNED
2025-07-21,AMD_COMPRESSION_BREAKOUT,21,-3,true,UP,11,false,true,false,TRENDING_UP,3,2,CONFLICTED
2025-07-22,AMD_SHIFTED,24,-22,false,UP,13,true,true,false,TRENDING_UP,4,1,CONFLICTED
2025-07-23,AMD_SHIFTED,30,26,false,UP,9,false,true,false,TRENDING_UP,4,1,CONFLICTED
2025-07-24,AMD_TEXTBOOK,29,10,true,UP,11,true,false,false,TRENDING_UP,4,1,CONFLICTED
2025-07-25,AMD_COMPRESSION_BREAKOUT,32,-23,true,DOWN,13,false,true,false,TRENDING_UP,3,2,ALIGNED
2025-07-28,AMD_NONE,63,-47,false,DOWN,8,false,false,false,TRENDING_DOWN,2,3,CONFLICTED
2025-07-29,AMD_TEXTBOOK,31,-18,true,UP,16,true,false,false,TRENDING_DOWN,1,4,ALIGNED
2025-07-30,AMD_COMPRESSION_BREAKOUT,27,-11,true,DOWN,7,false,true,false,TRENDING_DOWN,0,5,CONFLICTED
2025-07-31,AMD_SHIFTED,43,20,true,DOWN,17,false,true,false,TRENDING_DOWN,0,5,CONFLICTED
2025-08-01,AMD_TEXTBOOK,18,2,true,DOWN,11,true,false,false,TRENDING_DOWN,1,4,CONFLICTED
2025-08-04,AMD_FAILED,24,5,true,UP,12,false,false,false,TRENDING_DOWN,1,4,ALIGNED
2025-08-05,AMD_SHIFTED,26,-15,false,DOWN,10,true,false,false,TRENDING_DOWN,2,3,CONFLICTED
2025-08-06,AMD_SHIFTED,25,23,false,DOWN,8,true,false,false,TRENDING_UP,3,2,ALIGNED
2025-08-07,AMD_SHIFTED,42,38,false,DOWN,13,false,true,false,TRENDING_UP,4,1,ALIGNED
2025-08-08,AMD_TEXTBOOK,22,4,true,DOWN,13,true,true,false,TRENDING_UP,4,1,ALIGNED
2025-08-11,AMD_TEXTBOOK,15,-1,true,UP,8,true,false,false,TRENDING_UP,4,1,CONFLICTED
2025-08-12,AMD_COMPRESSION_BREAKOUT,32,-11,true,DOWN,13,false,true,false,TRENDING_UP,4,1,ALIGNED
2025-08-13,AMD_SHIFTED,39,21,true,UP,13,false,false,false,TRENDING_UP,4,1,CONFLICTED
2025-08-14,AMD_SHIFTED,40,-18,true,DOWN,8,false,true,false,TRENDING_UP,3,2,ALIGNED
2025-08-15,AMD_SHIFTED,26,16,false,DOWN,9,true,false,false,TRENDING_UP,3,2,ALIGNED
2025-08-18,AMD_FAILED,14,0,true,UP,7,true,false,false,TRENDING_UP,3,2,CONFLICTED
2025-08-19,AMD_FAILED,20,-9,true,DOWN,6,true,false,false,TRENDING_DOWN,2,3,CONFLICTED
2025-08-20,AMD_TEXTBOOK,26,-12,true,DOWN,16,true,true,false,TRENDING_DOWN,1,4,CONFLICTED
2025-08-21,AMD_FAILED,22,-12,true,UP,7,true,false,false,TRENDING_DOWN,1,4,ALIGNED
2025-08-22,AMD_TEXTBOOK,15,-2,true,UP,8,true,false,false,TRENDING_DOWN,1,4,ALIGNED
2025-08-25,AMD_COMPRESSION_BREAKOUT,33,2,true,UP,12,false,true,false,TRENDING_DOWN,1,4,ALIGNED
2025-08-26,AMD_COMPRESSION_BREAKOUT,23,-8,true,UP,13,false,true,false,TRENDING_DOWN,2,3,ALIGNED
2025-08-27,AMD_COMPRESSION_BREAKOUT,30,-17,true,DOWN,14,false,true,false,TRENDING_UP,3,2,ALIGNED
2025-08-28,AMD_COMPRESSION_BREAKOUT,16,2,true,UP,8,false,true,false,TRENDING_UP,4,1,CONFLICTED
2025-08-29,AMD_TEXTBOOK,14,8,true,DOWN,12,true,true,false,TRENDING_UP,4,1,ALIGNED
2025-09-01,AMD_FAILED,14,4,true,UP,11,false,false,false,TRENDING_UP,5,0,CONFLICTED
2025-09-02,AMD_NONE,58,-53,false,UP,15,true,false,false,TRENDING_UP,4,1,CONFLICTED
2025-09-03,AMD_COMPRESSION_BREAKOUT,23,4,true,UP,12,false,true,false,TRENDING_UP,4,1,CONFLICTED
2025-09-04,AMD_SHIFTED,29,-20,false,DOWN,8,false,false,false,TRENDING_UP,3,2,ALIGNED
2025-09-05,AMD_SHIFTED,24,21,false,UP,4,false,true,false,TRENDING_UP,3,2,CONFLICTED
2025-09-08,AMD_SHIFTED,38,31,false,DOWN,5,true,false,false,TRENDING_UP,3,2,ALIGNED
2025-09-09,AMD_TEXTBOOK,24,9,true,UP,13,true,false,false,TRENDING_UP,3,2,CONFLICTED
2025-09-10,AMD_SHIFTED,35,17,true,UP,9,false,true,false,TRENDING_UP,3,2,CONFLICTED
2025-09-11,AMD_TEXTBOOK,19,-7,true,DOWN,14,true,false,false,TRENDING_UP,4,1,ALIGNED
2025-09-12,AMD_COMPRESSION_BREAKOUT,18,-5,true,DOWN,17,false,true,false,TRENDING_UP,3,2,ALIGNED
2025-09-15,AMD_TEXTBOOK,22,14,true,DOWN,10,true,false,false,TRENDING_UP,3,2,ALIGNED
2025-09-16,AMD_TEXTBOOK,16,-10,true,UP,10,true,true,false,TRENDING_UP,4,1,CONFLICTED
2025-09-17,AMD_SHIFTED,21,-19,false,UP,5,true,true,false,TRENDING_UP,3,2,CONFLICTED
2025-09-18,AMD_SHIFTED,38,-10,true,UP,11,true,true,false,TRENDING_DOWN,2,3,ALIGNED
2025-09-19,AMD_TEXTBOOK,32,-15,true,UP,9,true,false,false,TRENDING_DOWN,2,3,ALIGNED
2025-09-22,AMD_COMPRESSION_BREAKOUT,22,-9,true,UP,17,false,true,false,TRENDING_DOWN,2,3,ALIGNED
2025-09-23,AMD_COMPRESSION_BREAKOUT,20,-13,true,UP,21,false,true,false,TRENDING_DOWN,2,3,ALIGNED
2025-09-24,AMD_SHIFTED,39,21,true,DOWN,12,false,true,false,TRENDING_DOWN,2,3,CONFLICTED
2025-09-25,AMD_TEXTBOOK,16,-1,true,UP,18,true,false,false,TRENDING_DOWN,2,3,ALIGNED
2025-09-26,AMD_FAILED,18,-7,true,DOWN,5,true,false,false,TRENDING_UP,3,2,ALIGNED
2025-09-29,AMD_FAILED,26,17,true,DOWN,5,false,false,false,TRENDING_UP,3,2,ALIGNED
2025-09-30,AMD_SHIFTED,38,24,true,UP,12,false,true,false,TRENDING_UP,3,2,CONFLICTED
2025-10-01,AMD_FAILED,28,0,true,UP,9,false,false,false,TRENDING_UP,4,1,CONFLICTED
2025-10-02,AMD_COMPRESSION_BREAKOUT,22,7,true,DOWN,9,false,true,false,TRENDING_UP,4,1,ALIGNED
2025-10-03,AMD_FAILED,20,6,true,DOWN,5,true,false,false,TRENDING_UP,4,1,ALIGNED
2025-10-06,AMD_TEXTBOOK,26,10,true,DOWN,14,true,false,false,TRENDING_UP,4,1,ALIGNED
2025-10-07,AMD_SHIFTED,39,-26,true,UP,5,true,false,false,TRENDING_UP,3,2,CONFLICTED
2025-10-08,AMD_SHIFTED,24,-13,false,DOWN,8,true,false,false,TRENDING_UP,3,2,ALIGNED
2025-10-09,AMD_SHIFTED,40,-1,true,DOWN,14,true,false,false,TRENDING_UP,3,2,ALIGNED
2025-10-10,AMD_FAILED,28,-5,true,UP,7,true,false,false,TRENDING_DOWN,2,3,ALIGNED
2025-10-13,AMD_SHIFTED,35,24,true,DOWN,7,false,true,false,TRENDING_DOWN,2,3,CONFLICTED
2025-10-14,AMD_NONE,72,-57,false,UP,12,true,false,false,TRENDING_DOWN,2,3,ALIGNED
2025-10-15,AMD_SHIFTED,37,26,false,UP,5,false,false,false,TRENDING_DOWN,2,3,ALIGNED
2025-10-16,AMD_SHIFTED,36,-1,true,DOWN,6,false,true,false,TRENDING_DOWN,2,3,CONFLICTED
