trade_date,amd_tag,predicted_direction,daily_bias_alignment,judas_direction,reversal_confirmed,asian_range_bucket,asian_range_pips,entry_hour,exit_hour,bars_in_gate,reference_price,mfe_pips,mfe_bar_index,mfe_hour,mae_pips,mae_bar_index,mae_hour,close_pips,giveback_to_close_pips,max_giveback_from_peak_pips,rev_2.5_hit,rev_2.5_bar,rev_2.5_peak_before,rev_5_hit,rev_5_bar,rev_5_peak_before,rev_7.5_hit,rev_7.5_bar,rev_7.5_peak_before,rev_10_hit,rev_10_bar,rev_10_peak_before,rev_12.5_hit,rev_12.5_bar,rev_12.5_peak_before,rev_15_hit,rev_15_bar,rev_15_peak_before
2025-08-26,AMD_COMPRESSION_BREAKOUT,UP,ALIGNED,UP,false,LT_25,23,10,13,48,0.64857,7.9,25,12,5.1,43,13,1.5,6.4,13,true,6,2.3,true,7,2.3,true,30,7.9,true,36,7.9,true,40,7.9,false,,
2025-08-27,AMD_COMPRESSION_BREAKOUT,DOWN,ALIGNED,DOWN,false,25_40,30,10,13,48,0.64712,8.8,21,11,8.2,46,13,-4.4,13.2,17,true,0,2.8,true,14,8.6,true,25,8.8,true,27,8.8,true,38,8.8,true,46,8.8
2025-08-28,AMD_COMPRESSION_BREAKOUT,UP,CONFLICTED,UP,false,LT_25,16,10,13,48,0.65202,14.4,33,12,1.8,0,10,3.2,11.2,15.2,true,6,8.2,true,14,10,true,30,11.3,true,37,14.4,true,43,14.4,true,44,14.4
2025-08-29,AMD_TEXTBOOK,UP,ALIGNED,DOWN,true,LT_25,14,12,13,24,0.65266,10.9,23,13,3.7,2,12,8.9,2,7.1,true,1,1,true,6,3.8,false,,,false,,,false,,,false,,
2025-09-01,AMD_FAILED,DOWN,CONFLICTED,UP,false,LT_25,14,11,12,24,0.65571,8.3,18,12,1.5,1,11,4.7,3.6,4.8,true,1,1.1,false,,,false,,,false,,,false,,,false,,
2025-09-02,AMD_NONE,UP,CONFLICTED,UP,true,GTE_40,58,10,11,24,0.65112,3,12,11,7.4,18,11,-2.4,5.4,10.4,true,0,0.2,true,4,2.4,true,17,3,true,18,3,false,,,false,,
2025-09-03,AMD_COMPRESSION_BREAKOUT,UP,CONFLICTED,UP,false,LT_25,23,10,13,48,0.65313,12.9,43,13,6.3,8,10,4.9,8,10.4,true,0,2.1,true,7,3.9,true,8,3.9,true,8,3.9,false,,,false,,
2025-09-04,AMD_SHIFTED,UP,ALIGNED,DOWN,false,25_40,29,12,13,24,0.65168,10.1,20,13,7.6,8,12,4.9,5.2,15.5,true,2,3.6,true,3,7.9,true,4,7.9,true,6,7.9,true,7,7.9,true,8,7.9
2025-09-05,AMD_SHIFTED,UP,CONFLICTED,UP,false,LT_25,24,12,13,24,0.65408,48,23,13,0,0,12,47.7,0.3,31.3,true,0,2.6,true,4,7,true,6,33,true,6,33,true,6,33,true,6,33
2025-09-08,AMD_SHIFTED,UP,ALIGNED,DOWN,true,25_40,38,12,13,24,0.65906,8.1,14,13,4.9,4,12,-0.3,8.4,10.3,true,1,2.4,true,2,2.4,true,22,8.1,true,23,8.1,false,,,false,,
2025-09-09,AMD_TEXTBOOK,DOWN,CONFLICTED,UP,true,LT_25,24,12,13,24,0.66093,13.9,13,13,1.4,3,12,7.3,6.6,10,true,0,2.5,true,4,4.7,true,16,13.9,true,21,13.9,false,,,false,,
2025-09-10,AMD_SHIFTED,UP,CONFLICTED,UP,false,25_40,35,12,13,24,0.66066,22.6,21,13,5.2,5,12,20.2,2.4,22,true,2,1.4,true,2,1.4,true,6,18.5,true,6,18.5,true,6,18.5,true,6,18.5
2025-09-11,AMD_TEXTBOOK,UP,ALIGNED,DOWN,true,LT_25,19,12,13,24,0.66032,33.6,23,13,12.6,6,12,31.8,1.8,30.9,true,0,1.6,true,5,2.6,true,6,18.3,true,6,18.3,true,6,18.3,true,6,18.3
2025-09-12,AMD_COMPRESSION_BREAKOUT,DOWN,ALIGNED,DOWN,false,LT_25,18,10,13,48,0.66508,20,32,12,3.2,2,10,11.6,8.4,11.6,true,1,0.2,true,11,5,true,34,20,true,37,20,false,,,false,,
2025-09-15,AMD_TEXTBOOK,UP,ALIGNED,DOWN,true,LT_25,22,12,13,24,0.66602,8.7,6,12,3.4,22,13,-3.2,11.9,12.1,true,0,3.2,true,3,6.2,true,13,8.7,true,22,8.7,false,,,false,,
2025-09-16,AMD_TEXTBOOK,DOWN,CONFLICTED,UP,true,LT_25,16,12,13,24,0.66744,12.6,6,12,2.6,18,13,6.6,6,15.2,true,1,3.2,true,6,12.6,true,7,12.6,true,7,12.6,true,17,12.6,true,18,12.6
2025-09-17,AMD_SHIFTED,UP,CONFLICTED,UP,true,LT_25,21,12,13,24,0.66758,5.8,23,13,0.8,18,13,4.4,1.4,6.4,true,0,2.5,true,17,5.6,false,,,false,,,false,,,false,,
2025-09-18,AMD_SHIFTED,DOWN,ALIGNED,UP,true,25_40,38,12,13,24,0.66518,44.8,21,13,0.5,0,12,30.6,14.2,14.6,true,0,3.2,true,6,14.4,true,6,14.4,true,6,14.4,true,23,44.8,false,,
2025-09-19,AMD_TEXTBOOK,DOWN,ALIGNED,UP,true,25_40,32,12,13,24,0.65928,6.8,9,12,7.6,15,13,-0.8,7.6,14.4,true,0,1.7,true,12,6.8,true,12,6.8,true,14,6.8,true,15,6.8,false,,
2025-09-22,AMD_COMPRESSION_BREAKOUT,UP,ALIGNED,UP,false,LT_25,22,10,13,48,0.65964,3.4,34,12,15.2,45,13,-8.2,11.6,18.6,true,1,1.4,true,13,3.2,true,43,3.4,true,43,3.4,true,44,3.4,true,45,3.4
2025-09-23,AMD_COMPRESSION_BREAKOUT,UP,ALIGNED,UP,false,LT_25,20,10,13,48,0.66054,10.2,36,13,6.8,46,13,-0.2,10.4,17,true,1,3.1,true,6,6.3,true,8,6.3,true,43,10.2,true,43,10.2,true,45,10.2
2025-09-24,AMD_SHIFTED,DOWN,CONFLICTED,DOWN,false,25_40,39,12,13,24,0.6602,15.4,18,13,10.4,4,12,9.2,6.2,10.6,true,0,0.2,true,1,0.2,true,3,0.2,true,4,0.2,false,,,false,,
2025-09-25,AMD_TEXTBOOK,DOWN,ALIGNED,UP,true,LT_25,16,12,13,24,0.65825,38.5,23,13,2.2,1,12,36.1,2.4,15.9,true,0,1.9,true,6,19.9,true,6,19.9,true,6,19.9,true,6,19.9,true,6,19.9
2025-09-26,AMD_FAILED,UP,ALIGNED,DOWN,true,LT_25,18,11,12,24,0.65227,17.3,18,12,0.4,0,11,15.6,1.7,10.8,true,5,3.1,true,18,17.3,true,18,17.3,true,18,17.3,false,,,false,,
2025-09-29,AMD_FAILED,UP,ALIGNED,DOWN,false,25_40,26,11,12,24,0.65628,9.6,22,12,3,6,11,5.2,4.4,7.8,true,4,0.8,true,14,5.2,true,18,5.2,false,,,false,,,false,,
2025-09-30,AMD_SHIFTED,UP,CONFLICTED,UP,false,25_40,38,12,13,24,0.66097,12.9,22,13,1.7,17,13,9.7,3.2,8,true,0,3.1,true,11,6.3,true,17,6.3,false,,,false,,,false,,
2025-10-01,AMD_FAILED,DOWN,CONFLICTED,UP,false,25_40,28,11,12,24,0.661,4.2,14,12,19,15,12,-9.8,14,23.2,true,1,0.2,true,3,0.2,true,8,0.2,true,9,0.2,true,15,4.2,true,15,4.2
2025-10-02,AMD_COMPRESSION_BREAKOUT,DOWN,ALIGNED,DOWN,false,LT_25,22,10,13,48,0.66158,26.4,46,13,0.1,0,10,22.5,3.9,7.8,true,0,3.6,true,22,12.8,true,42,16.6,false,,,false,,,false,,
2025-10-03,AMD_FAILED,UP,ALIGNED,DOWN,true,LT_25,20,11,12,24,0.66042,3.6,23,12,5,19,12,2.2,1.4,7.6,true,2,0.2,true,14,2.6,true,19,2.6,false,,,false,,,false,,
2025-10-06,AMD_TEXTBOOK,UP,ALIGNED,DOWN,true,25_40,26,12,13,24,0.6598,21.2,22,13,2.4,0,12,18.4,2.8,6.7,true,0,1.8,true,5,5.5,false,,,false,,,false,,,false,,
2025-10-07,AMD_SHIFTED,UP,CONFLICTED,UP,true,25_40,39,12,13,24,0.65864,10.6,17,13,5.4,6,12,6.1,4.5,7.6,true,0,2.2,true,3,2.2,true,6,2.2,false,,,false,,,false,,
2025-10-08,AMD_SHIFTED,UP,ALIGNED,DOWN,true,LT_25,24,12,13,24,0.65716,17,15,13,0.4,0,12,9.9,7.1,7.6,true,2,5.6,true,2,5.6,true,22,17,false,,,false,,,false,,
2025-10-09,AMD_SHIFTED,UP,ALIGNED,DOWN,true,GTE_40,40,12,13,24,0.65974,15,13,13,15,21,13,-12.2,27.2,30,true,0,1,true,6,10.6,true,12,12.7,true,15,15,true,18,15,true,19,15
2025-10-10,AMD_FAILED,DOWN,ALIGNED,UP,true,25_40,28,11,12,24,0.65512,0.4,0,11,8.2,18,12,-4,4.4,8.6,true,4,0.4,true,12,0.4,true,18,0.4,false,,,false,,,false,,
2025-10-13,AMD_SHIFTED,DOWN,CONFLICTED,DOWN,false,25_40,35,12,13,24,0.65074,1.2,0,12,11.6,23,13,-11.2,12.4,12.8,true,0,1.2,true,2,1.2,true,3,1.2,true,23,1.2,true,23,1.2,false,,
2025-10-14,AMD_NONE,DOWN,ALIGNED,UP,true,GTE_40,72,10,11,24,0.64483,7.9,9,10,9.1,22,11,-6.2,14.1,17,true,1,3.3,true,4,7.7,true,7,7.7,true,15,7.9,true,16,7.9,true,22,7.9
2025-10-15,AMD_SHIFTED,DOWN,ALIGNED,UP,false,25_40,37,12,13,24,0.65142,10.4,21,13,3.8,6,12,4.2,6.2,9.7,true,3,0.8,true,10,6.9,true,10,6.9,false,,,false,,,false,,
2025-10-16,AMD_SHIFTED,DOWN,CONFLICTED,DOWN,false,25_40,36,12,13,24,0.65066,20.3,23,13,0.6,0,12,20.3,0,8.1,true,0,2.2,true,1,8.4,true,18,16.9,false,,,false,,,false,,
2025-10-17,AMD_SHIFTED,UP,ALIGNED,DOWN,true,GTE_40,48,12,13,24,0.64866,6,1,12,16.6,6,12,-9.3,15.3,22.6,true,0,1.4,true,1,6,true,1,6,true,2,6,true,3,6,true,5,6
2025-10-20,AMD_FAILED,DOWN,CONFLICTED,UP,true,LT_25,23,11,12,24,0.64901,5.5,8,11,4.1,22,12,-2.5,8,9.6,true,3,1.3,true,6,4.1,true,22,5.5,false,,,false,,,false,,
2025-10-21,AMD_SHIFTED,UP,ALIGNED,DOWN,false,25_40,39,12,13,24,0.64926,3.2,11,12,19.7,23,13,-16,19.2,22.9,true,0,1.9,true,1,1.9,true,14,3.2,true,19,3.2,true,20,3.2,true,21,3.2
2025-10-22,AMD_COMPRESSION_BREAKOUT,DOWN,ALIGNED,DOWN,false,25_40,29,10,13,48,0.64955,13.7,21,11,1.1,0,10,2.6,11.1,14.5,true,11,8.5,true,24,13.7,true,30,13.7,true,43,13.7,true,43,13.7,false,,
2025-10-23,AMD_FAILED,DOWN,CONFLICTED,UP,false,25_40,30,11,12,24,0.65053,6.9,16,12,3.5,22,12,0.3,6.6,10.4,true,6,2.9,true,18,6.9,true,21,6.9,true,22,6.9,false,,,false,,
2025-10-24,AMD_SHIFTED,UP,ALIGNED,DOWN,true,LT_25,23,12,13,24,0.65006,28.4,7,12,2.6,4,12,12.6,15.8,24.7,true,2,1.6,true,6,25.5,true,6,25.5,true,6,25.5,true,6,25.5,true,6,25.5
2025-10-27,AMD_COMPRESSION_BREAKOUT,UP,CONFLICTED,UP,false,LT_25,20,10,13,48,0.65574,2.2,38,13,12.5,45,13,-8,10.2,14.7,true,0,0.1,true,6,1.9,true,31,1.9,true,42,2.2,true,44,2.2,false,,
2025-10-28,AMD_FAILED,DOWN,CONFLICTED,UP,false,LT_25,17,11,12,24,0.656,6.8,15,12,0.2,0,11,5.6,1.2,4.4,true,3,3.9,false,,,false,,,false,,,false,,,false,,
2025-10-29,AMD_SHIFTED,UP,ALIGNED,DOWN,false,25_40,39,12,13,24,0.6596,12.4,18,13,9.4,5,12,7.4,5,10.5,true,1,1.1,true,2,1.1,true,5,1.1,true,5,1.1,false,,,false,,
2025-10-30,AMD_COMPRESSION_BREAKOUT,DOWN,ALIGNED,DOWN,false,LT_25,24,10,13,48,0.65688,36.2,38,13,3.5,0,10,21.3,14.9,17.6,true,0,0.9,true,35,30.6,true,40,36.2,true,42,36.2,true,46,36.2,true,46,36.2
2025-10-31,AMD_SHIFTED,DOWN,ALIGNED,UP,true,25_40,27,12,13,24,0.65428,9.4,20,13,5,23,13,-4,13.4,14.4,true,1,4.2,true,5,5.4,true,22,9.4,true,22,9.4,true,23,9.4,false,,
2025-11-03,AMD_COMPRESSION_BREAKOUT,DOWN,CONFLICTED,DOWN,false,LT_25,22,10,13,48,0.65468,9.3,46,13,5,32,12,7.6,1.7,8,true,4,3,true,7,3,true,31,3,false,,,false,,,false,,
2025-11-04,AMD_SHIFTED,DOWN,CONFLICTED,DOWN,false,25_40,33,12,13,24,0.64972,6,6,12,0.8,12,13,4.7,1.3,6.8,true,0,2.4,true,12,6,false,,,false,,,false,,,false,,
2025-11-05,AMD_SHIFTED,DOWN,ALIGNED,UP,false,GTE_40,41,12,13,24,0.6479,2,1,12,8.5,22,13,-6.6,8.6,10.5,true,3,2,true,4,2,true,12,2,true,20,2,false,,,false,,
2025-11-06,AMD_FAILED,UP,CONFLICTED,DOWN,true,LT_25,21,11,12,24,0.65074,7.6,22,12,1.4,10,11,6.6,1,5.2,true,6,3,true,18,7.2,false,,,false,,,false,,,false,,
2025-11-07,AMD_FAILED,UP,CONFLICTED,DOWN,true,LT_25,23,11,12,24,0.64855,2.5,15,12,9.4,22,12,-5.7,8.2,11.9,true,1,1.3,true,2,1.3,true,2,1.3,true,3,1.3,false,,,false,,
2025-11-10,AMD_SHIFTED,UP,CONFLICTED,UP,false,25_40,37,12,13,24,0.65338,4.5,16,13,7.4,22,13,-4.5,9,11.9,true,2,1.1,true,9,3.6,true,10,3.6,true,21,4.5,false,,,false,,
2025-11-11,AMD_COMPRESSION_BREAKOUT,UP,CONFLICTED,UP,false,LT_25,21,10,13,48,0.65188,19.2,45,13,1,0,10,16.6,2.6,6.5,true,2,2,true,34,9.6,false,,,false,,,false,,,false,,
2025-11-12,AMD_FAILED,DOWN,CONFLICTED,UP,false,25_40,25,11,12,24,0.65322,1.5,3,11,12.2,22,12,-11.2,12.7,13.7,true,4,1.5,true,6,1.5,true,12,1.5,true,15,1.5,true,21,1.5,false,,
2025-11-13,AMD_SHIFTED,UP,ALIGNED,DOWN,false,GTE_40,44,12,13,24,0.65624,4,7,12,14,20,13,-9.2,13.2,18,true,6,3,true,8,4,true,13,4,true,13,4,true,18,4,true,18,4
2025-11-14,AMD_COMPRESSION_BREAKOUT,DOWN,ALIGNED,DOWN,false,25_40,27,10,13,48,0.65212,17.6,21,11,8.8,40,13,-2.8,20.4,26.4,true,0,0.8,true,2,0.8,true,25,17.6,true,29,17.6,true,32,17.6,true,33,17.6
2025-11-17,AMD_COMPRESSION_BREAKOUT,DOWN,CONFLICTED,DOWN,false,25_40,25,10,13,48,0.652,13,46,13,5.1,30,12,9.6,3.4,15.9,true,2,0.4,true,10,8.8,true,19,10.8,true,23,10.8,true,28,10.8,true,30,10.8
2025-11-18,AMD_COMPRESSION_BREAKOUT,UP,CONFLICTED,UP,false,25_40,33,10,13,48,0.64958,16.4,44,13,4,5,10,10.2,6.2,6.8,true,2,1,true,5,1,false,,,false,,,false,,,false,,
2025-11-19,AMD_FAILED,UP,CONFLICTED,DOWN,false,25_40,33,11,12,24,0.64856,7.2,21,12,2.8,0,11,4,3.2,4,true,0,0.2,false,,,false,,,false,,,false,,,false,,
2025-11-20,AMD_TEXTBOOK,DOWN,ALIGNED,UP,true,LT_25,16,12,13,24,0.64759,7.3,18,13,25.8,19,13,-15.1,22.4,33.1,true,1,1.5,true,12,1.9,true,18,7.3,true,18,7.3,true,18,7.3,true,18,7.3
2025-11-21,AMD_TEXTBOOK,DOWN,ALIGNED,UP,true,LT_25,22,12,13,24,0.64308,9.4,4,12,22.5,15,13,-18.6,28,31.9,true,0,2,true,6,9.4,true,6,9.4,true,6,9.4,true,6,9.4,true,6,9.4
2025-11-24,AMD_TEXTBOOK,UP,ALIGNED,DOWN,true,LT_25,19,12,13,24,0.64506,9.2,15,13,6.4,3,12,3.4,5.8,9,true,1,0.7,true,2,0.7,true,20,9.2,false,,,false,,,false,,
2025-11-25,AMD_FAILED,DOWN,CONFLICTED,UP,true,LT_25,21,11,12,24,0.64552,10.2,7,11,2.1,20,12,0.1,10.1,12.3,true,0,3.2,true,3,9.2,true,20,10.2,true,20,10.2,false,,,false,,
2025-11-26,AMD_SHIFTED,UP,ALIGNED,DOWN,false,GTE_40,43,12,13,24,0.64912,13.6,16,13,7.2,7,12,-0.4,14,18.8,true,0,0.4,true,1,0.4,true,7,0.4,true,19,13.6,true,19,13.6,true,20,13.6
2025-11-27,AMD_FAILED,UP,ALIGNED,DOWN,false,LT_25,17,11,12,24,0.65236,5.7,14,12,1.2,1,11,2.2,3.5,3.7,true,4,1.8,false,,,false,,,false,,,false,,,false,,
2025-11-28,AMD_SHIFTED,UP,CONFLICTED,UP,true,LT_25,19,12,13,24,0.65238,13,23,13,2.2,0,12,11.8,1.2,5.8,true,0,1.5,true,7,6,false,,,false,,,false,,,false,,
2025-12-01,AMD_FAILED,UP,ALIGNED,DOWN,true,LT_25,19,11,12,24,0.6549,14.5,23,12,2.6,2,11,14.5,0,5.9,true,0,3.2,true,2,3.2,false,,,false,,,false,,,false,,
2025-12-02,AMD_SHIFTED,UP,ALIGNED,DOWN,true,LT_25,20,12,13,24,0.65484,14.5,23,13,0.4,2,12,14.5,0,3.8,true,6,4,false,,,false,,,false,,,false,,,false,,
2025-12-03,AMD_COMPRESSION_BREAKOUT,UP,CONFLICTED,UP,false,25_40,34,10,13,48,0.65818,14.6,39,13,0.3,0,10,8.9,5.7,8.6,true,0,3.4,true,36,10.8,true,42,14.6,false,,,false,,,false,,
2025-12-04,AMD_FAILED,UP,ALIGNED,DOWN,false,LT_25,14,11,12,24,0.66108,3.4,16,12,4.9,22,12,-2.6,6,8.3,true,1,0.4,true,2,0.4,true,21,3.4,false,,,false,,,false,,
2025-12-05,AMD_SHIFTED,UP,CONFLICTED,UP,false,LT_25,24,12,13,24,0.66296,14.4,20,13,0.1,0,12,11.9,2.5,4.7,true,0,3.6,false,,,false,,,false,,,false,,,false,,
2025-12-08,AMD_FAILED,UP,ALIGNED,DOWN,false,LT_25,16,11,12,24,0.6636,3.9,23,12,3.4,10,11,3,0.9,4.2,true,4,0.8,false,,,false,,,false,,,false,,,false,,
2025-12-09,AMD_SHIFTED,UP,CONFLICTED,UP,false,GTE_40,41,12,13,24,0.66384,3.4,22,13,7,18,13,0,3.4,8.8,true,2,0.3,true,18,1.8,true,18,1.8,false,,,false,,,false,,
2025-12-10,AMD_FAILED,DOWN,CONFLICTED,UP,false,LT_25,22,11,12,24,0.66469,3.6,3,11,3.4,20,12,0.3,3.3,7,true,0,1.9,true,12,3.6,false,,,false,,,false,,,false,,
2025-12-11,AMD_NONE,UP,CONFLICTED,UP,false,GTE_40,52,10,11,24,0.66518,9.2,17,11,3.8,9,10,6.1,3.1,6.8,true,1,0.6,true,8,3,false,,,false,,,false,,,false,,
2025-12-12,AMD_TEXTBOOK,DOWN,ALIGNED,UP,true,LT_25,15,12,13,24,0.66666,5.8,22,13,2,13,13,3.2,2.6,7.5,true,0,1.2,true,13,5.5,true,13,5.5,false,,,false,,,false,,
2025-12-15,AMD_FAILED,DOWN,ALIGNED,UP,true,LT_25,15,11,12,24,0.66466,1.8,2,11,8.4,22,12,-7.2,9,10.2,true,4,1.8,true,8,1.8,true,10,1.8,true,22,1.8,false,,,false,,
2025-12-16,AMD_FAILED,DOWN,ALIGNED,UP,false,25_40,25,11,12,24,0.66359,4,21,12,2.5,23,12,-2.3,6.3,6.5,true,3,2.5,true,23,4,false,,,false,,,false,,,false,,
2025-12-17,AMD_FAILED,DOWN,ALIGNED,UP,true,LT_25,21,11,12,24,0.66194,6.8,7,11,4.9,23,12,-4.6,11.4,11.7,true,2,2.6,true,10,6.8,true,14,6.8,true,22,6.8,false,,,false,,
2025-12-18,AMD_FAILED,UP,CONFLICTED,DOWN,true,LT_25,20,11,12,24,0.66074,4.2,12,12,3.3,20,12,-2,6.2,7.5,true,7,1.6,true,15,4.2,false,,,false,,,false,,,false,,
2025-12-19,AMD_FAILED,DOWN,ALIGNED,UP,true,LT_25,23,11,12,24,0.66085,6.1,14,12,0.3,21,12,5,1.1,6.4,true,5,4.8,true,21,6.1,false,,,false,,,false,,,false,,
2025-12-22,AMD_SHIFTED,UP,ALIGNED,DOWN,true,25_40,29,12,13,24,0.6643,7.2,14,13,1.9,5,12,3.3,3.9,5.9,true,1,1.6,true,19,7.2,false,,,false,,,false,,,false,,
2025-12-23,AMD_SHIFTED,UP,CONFLICTED,UP,false,LT_25,23,12,13,24,0.6692,8.5,16,13,6.4,23,13,-6,14.5,14.9,true,2,3.2,true,18,8.5,true,22,8.5,true,22,8.5,true,23,8.5,false,,
2025-12-24,AMD_FAILED,UP,ALIGNED,DOWN,true,LT_25,20,11,12,24,0.67128,1.2,5,11,11.8,23,12,-9.2,10.4,13,true,6,1.2,true,20,1.2,true,20,1.2,true,22,1.2,true,23,1.2,false,,
2025-12-26,AMD_FAILED,UP,ALIGNED,DOWN,true,LT_25,18,11,12,24,0.67024,4.8,23,12,0,0,11,4.6,0.2,3.8,true,4,4,false,,,false,,,false,,,false,,,false,,
2025-12-29,AMD_COMPRESSION_BREAKOUT,DOWN,ALIGNED,DOWN,false,LT_25,17,10,13,48,0.66996,16.5,33,12,6.2,7,10,5.9,10.6,12.8,true,13,2.2,true,18,4.2,true,36,16.5,true,39,16.5,true,42,16.5,false,,
