group_type,group_value,amd_tag,n_days,avg_mfe_pips,p50_mfe_pips,p75_mfe_pips,mfe_stddev,positive_mfe_count,positive_mfe_pct,avg_mae_pips,avg_close_pips,avg_giveback_to_close_pips,avg_max_giveback_from_peak_pips,avg_mfe_bar_index,avg_mfe_hour,rev_2.5_pct_hit,rev_2.5_avg_bar,rev_2.5_avg_peak_before,rev_5_pct_hit,rev_5_avg_bar,rev_5_avg_peak_before,rev_7.5_pct_hit,rev_7.5_avg_bar,rev_7.5_avg_peak_before,rev_10_pct_hit,rev_10_avg_bar,rev_10_avg_peak_before,rev_12.5_pct_hit,rev_12.5_avg_bar,rev_12.5_avg_peak_before,rev_15_pct_hit,rev_15_avg_bar,rev_15_avg_peak_before
ALL,ALL,AMD_TEXTBOOK,38,15.39,12.8,19.2,13.02,37,97.4,7.41,6.77,8.63,16.4,15.5,12.7,97.4,1.1,2.15,97.4,5.5,5.81,86.8,11.4,11.17,68.4,13.2,12.14,42.1,12.9,15.31,28.9,12.4,18.72
daily_bias_alignment,ALIGNED,AMD_TEXTBOOK,23,13.85,10.9,21,9.53,23,100,7.47,7.2,6.65,13.82,16.6,12.7,100,1.3,1.8,100,5.9,5.23,87,11.8,9.13,60.9,12.4,8.93,43.5,12.5,10.78,21.7,9.4,11.48
daily_bias_alignment,CONFLICTED,AMD_TEXTBOOK,14,17.66,13.7,17.3,17.36,13,92.9,7.54,5.23,12.43,21.03,13.4,12.6,92.9,0.7,2.8,92.9,5.2,7.16,85.7,9.8,13.9,78.6,13.5,15.59,42.9,13.5,22.87,42.9,14.8,24.75
daily_bias_alignment,NULL,AMD_TEXTBOOK,1,19.2,19.2,19.2,0,1,100,4.2,18.4,0.8,11.1,20,13,100,0,1.8,100,1,1.8,100,21,19.2,100,21,19.2,0,0,0,0,0,0
judas_direction,DOWN,AMD_TEXTBOOK,13,18.58,12.8,21,16.6,13,100,5.68,10.83,7.75,16.44,16.5,12.8,100,0.5,1.88,100,4.1,5.36,84.6,12,14.62,53.8,13.6,18.89,38.5,12.4,22.08,30.8,11.3,22.35
judas_direction,UP,AMD_TEXTBOOK,25,13.74,12.6,17.8,10.32,24,96,8.32,4.66,9.08,16.38,14.9,12.7,96,1.4,2.3,96,6.3,6.06,88,11.1,9.45,76,13.1,9.66,44,13.1,12.24,28,13,16.64
reversal_confirmed,true,AMD_TEXTBOOK,38,15.39,12.8,19.2,13.02,37,97.4,7.41,6.77,8.63,16.4,15.5,12.7,97.4,1.1,2.15,97.4,5.5,5.81,86.8,11.4,11.17,68.4,13.2,12.14,42.1,12.9,15.31,28.9,12.4,18.72
asian_range_bucket,25_40,AMD_TEXTBOOK,17,13.17,12.3,17.8,10.39,16,94.1,8.94,3.58,9.59,16.92,14.2,12.6,94.1,0.6,2.44,94.1,3.8,4.2,82.4,10.4,8.48,58.8,11.9,8.24,47.1,14.9,11.8,29.4,15.2,17.42
asian_range_bucket,LT_25,AMD_TEXTBOOK,21,17.2,13.7,19.2,14.57,21,100,6.18,9.35,7.84,15.99,16.5,12.8,100,1.4,1.92,100,6.8,7.04,90.5,12.1,13.16,76.2,14,14.58,38.1,10.9,18.82,28.6,10,19.8
ALL,ALL,AMD_COMPRESSION_BREAKOUT,53,18.68,14.9,23.5,11.92,53,100,5.55,10.83,7.85,14.59,36.8,12.5,100,1.7,2.58,100,12.1,7.49,90.6,24.2,12.31,69.8,29.2,13.37,60.4,33.2,14.26,39.6,33.2,16.48
daily_bias_alignment,ALIGNED,AMD_COMPRESSION_BREAKOUT,24,14.9,12.2,20,7.8,24,100,6.75,7.6,7.3,15.05,35,12.4,100,2.4,2.54,100,12.5,6.97,95.8,26.2,12.15,70.8,33.2,12.92,58.3,36.5,12.45,41.7,36.6,12.55
daily_bias_alignment,CONFLICTED,AMD_COMPRESSION_BREAKOUT,23,22.66,19.2,27.4,14.91,23,100,4.5,14.55,8.11,12.87,41.1,12.8,100,1,2.37,100,13,7.69,82.6,23.9,12.61,65.2,26.3,13.27,56.5,31.8,15.39,26.1,31.8,23.1
daily_bias_alignment,NULL,AMD_COMPRESSION_BREAKOUT,6,18.53,23.5,24,6.43,6,100,4.82,9.53,9,19.37,27.3,11.8,100,1.3,3.57,100,7,8.78,100,17.3,11.93,83.3,24.6,15.18,83.3,27.6,16.4,83.3,28.2,16.4
judas_direction,DOWN,AMD_COMPRESSION_BREAKOUT,26,21.08,16.5,26,13.59,26,100,5.82,12.4,8.68,16.29,36,12.4,100,1.8,2.75,100,12.8,9.31,96.2,24.5,14.06,73.1,27.5,15.79,65.4,31.5,15.75,46.2,33,19.82
judas_direction,UP,AMD_COMPRESSION_BREAKOUT,27,16.37,14.6,21.2,9.49,27,100,5.3,9.33,7.04,12.96,37.5,12.6,100,1.5,2.42,100,11.4,5.74,85.2,23.8,10.4,66.7,31.1,10.82,55.6,35.1,12.57,33.3,33.6,12.02
reversal_confirmed,false,AMD_COMPRESSION_BREAKOUT,53,18.68,14.9,23.5,11.92,53,100,5.55,10.83,7.85,14.59,36.8,12.5,100,1.7,2.58,100,12.1,7.49,90.6,24.2,12.31,69.8,29.2,13.37,60.4,33.2,14.26,39.6,33.2,16.48
asian_range_bucket,25_40,AMD_COMPRESSION_BREAKOUT,26,19.45,14.9,24,11.03,26,100,5.09,11.52,7.93,14.53,35.4,12.4,100,1.4,2.34,100,11.9,8.31,88.5,23.4,13.84,61.5,27.6,13.37,53.8,32.1,14.1,34.6,33.4,15.39
asian_range_bucket,LT_25,AMD_COMPRESSION_BREAKOUT,27,17.93,15.3,23.5,12.67,27,100,6,10.17,7.76,14.66,38.1,12.6,100,2,2.81,100,12.3,6.7,92.6,24.9,10.9,77.8,30.5,13.37,66.7,34.1,14.39,44.4,33.1,17.3
ALL,ALL,AMD_FAILED,46,7.71,6.1,9.6,6.55,46,100,5.07,1.75,5.96,10.52,14.4,11.7,100,2.9,2.03,82.6,10.8,4.73,60.9,14.5,6.93,47.8,15.3,7.87,21.7,16.8,9.21,17.4,18,12.31
daily_bias_alignment,ALIGNED,AMD_FAILED,20,7.21,6.1,10.4,4.98,20,100,4.17,2.7,4.5,8.82,15.2,11.8,100,2.9,1.96,80,13,5.74,60,16.8,5.93,40,19.1,7.45,10,18.5,2.85,5,18,13.6
daily_bias_alignment,CONFLICTED,AMD_FAILED,20,8.07,6.6,7.6,7.65,20,100,5.49,1.63,6.44,11.59,14.8,11.7,100,3.2,1.93,80,10.8,4.04,55,14.5,7.99,50,14.9,8.24,30,17.5,11.38,25,17.4,13.36
daily_bias_alignment,NULL,AMD_FAILED,6,8.15,4.9,17.6,7.03,6,100,6.63,-1.03,9.18,12.63,10.3,11.5,100,2.2,2.6,100,5.2,3.9,83.3,9,6.98,66.7,8.8,7.78,33.3,13,9.05,33.3,19.5,9.05
judas_direction,DOWN,AMD_FAILED,24,7.89,6.5,13.6,5.38,24,100,4.84,1.9,5.99,10.12,15.8,11.8,100,3,2.3,83.3,10.9,5.41,62.5,13.9,6.31,45.8,13.6,7.24,25,16.5,5.97,20.8,19,8.74
judas_direction,UP,AMD_FAILED,22,7.51,6.1,7.5,7.62,22,100,5.31,1.59,5.92,10.96,12.8,11.6,100,2.8,1.74,81.8,10.7,3.99,59.1,15.2,7.65,50,17,8.5,18.2,17.3,14.07,13.6,16.3,18.27
reversal_confirmed,false,AMD_FAILED,21,6.11,4.9,7.2,4.04,21,100,6.01,-0.47,6.58,10.06,14,11.8,100,2.7,1.95,76.2,10.1,3.96,57.1,14.1,4.56,42.9,14.1,4.7,23.8,15.8,3.18,19,17.5,5.88
reversal_confirmed,true,AMD_FAILED,25,9.05,6.6,10.4,7.83,25,100,4.27,3.62,5.43,10.91,14.7,11.6,100,3.1,2.1,88,11.3,5.3,64,14.8,8.71,52,16.2,10.06,20,17.8,15.24,16,18.5,18.75
asian_range_bucket,25_40,AMD_FAILED,11,4.99,4.2,6.9,2.58,11,100,7.11,-1.34,6.33,10.46,13.8,11.7,100,2.2,1.41,81.8,9.3,2.83,72.7,13,2.94,45.5,13.2,2.82,27.3,18,4.17,18.2,17.5,5.5
asian_range_bucket,LT_25,AMD_FAILED,35,8.56,6.1,10.4,7.16,35,100,4.42,2.72,5.84,10.54,14.5,11.7,100,3.1,2.23,82.9,11.3,5.32,57.1,15.1,8.53,48.6,15.9,9.35,20,16.3,11.37,17.1,18.2,14.58
ALL,ALL,AMD_SHIFTED,89,12.07,10.1,16,9.66,89,100,8.72,2.91,9.16,15.71,14.1,12.7,100,1.1,2.12,97.8,5.1,4.64,87.6,8.3,6.92,73,10.8,7.87,57.3,11.9,9.68,41.6,12.5,10.6
daily_bias_alignment,ALIGNED,AMD_SHIFTED,42,12.31,10.4,17,9.39,42,100,9.9,1.33,10.98,17.55,14.5,12.7,100,1.2,1.86,97.6,4.5,4.69,85.7,8.1,6.86,78.6,10.9,8.08,64.3,12.3,10.86,50,12.8,11.04
daily_bias_alignment,CONFLICTED,AMD_SHIFTED,47,11.85,9.4,16,9.89,47,100,7.67,4.33,7.52,14.06,13.8,12.6,100,1,2.36,97.9,5.6,4.6,89.4,8.5,6.97,68.1,10.8,7.66,51.1,11.5,8.37,34,12.1,10.03
judas_direction,DOWN,AMD_SHIFTED,48,11.53,10.1,15.4,7.51,48,100,9.47,0.88,10.65,16.79,13.6,12.6,100,1.2,1.98,97.9,4.7,4.82,87.5,8.4,7.42,77.1,11.2,8.34,60.4,12.4,9.39,43.8,13.1,10.9
judas_direction,UP,AMD_SHIFTED,41,12.69,10.4,18.6,11.66,41,100,7.84,5.29,7.4,14.44,14.7,12.7,100,1,2.29,97.6,5.5,4.43,87.8,8.2,6.34,68.3,10.3,7.25,53.7,11.3,10.07,39,11.7,10.22
reversal_confirmed,false,AMD_SHIFTED,50,12.34,9.4,16,10.11,50,100,8.67,2.91,9.43,16.07,13.5,12.6,100,0.7,2.08,98,4.7,4.4,92,7.8,6.53,74,10.8,7.79,58,12.3,9.63,42,12.4,10.77
reversal_confirmed,true,AMD_SHIFTED,39,11.71,10.8,16.6,9.04,39,100,8.78,2.91,8.81,15.24,14.8,12.7,100,1.6,2.18,97.4,5.6,4.95,82.1,9,7.47,71.8,10.8,7.97,56.4,11.5,9.75,41,12.6,10.38
asian_range_bucket,25_40,AMD_SHIFTED,36,9.53,8.1,10.8,9.25,36,100,8.51,0.54,8.99,14.32,14.1,12.7,100,1.1,1.86,100,5.4,4.01,88.9,8.9,5.33,72.2,11.7,5.56,52.8,13.6,9.42,30.6,15.2,10.64
asian_range_bucket,GTE_40,AMD_SHIFTED,42,12.68,12.2,19,8.84,42,100,10.21,2.71,9.97,17.43,12.8,12.6,100,0.9,2.11,100,3.6,4.18,95.2,6.7,6.28,83.3,9.9,8.14,66.7,10.6,8.32,54.8,11.5,8.77
asian_range_bucket,LT_25,AMD_SHIFTED,11,18.01,14.8,18.6,10.94,11,100,3.72,11.42,6.59,13.66,19.2,12.9,100,2.2,3.04,81.8,10.9,9.33,54.5,16,19.62,36.4,13,20.52,36.4,13.3,20.52,27.3,10,24.53
ALL,ALL,AMD_NONE,34,14.51,10,16.6,18.19,34,100,7.68,4.07,10.45,17.19,11.9,10.5,100,0.3,3.38,100,2.2,4.66,88.2,6.3,7.82,76.5,9.7,9.74,61.8,11.3,12.66,44.1,12.1,9.83
daily_bias_alignment,ALIGNED,AMD_NONE,19,14.44,10.2,25.2,11.94,19,100,6.64,4.21,10.23,15.31,11.8,10.4,100,0.5,3.49,100,2.1,5.11,89.5,6.3,10.54,73.7,9.6,12.88,68.4,13,15.16,42.1,13.1,10.74
daily_bias_alignment,CONFLICTED,AMD_NONE,15,14.61,7.2,16.6,23.87,15,100,8.99,3.89,10.72,19.57,12,10.7,100,0.1,3.24,100,2.3,4.1,86.7,6.4,4.28,80,9.8,6.08,53.3,8.6,8.6,46.7,11,8.8
judas_direction,DOWN,AMD_NONE,19,12.39,10,16.6,11.95,19,100,7.22,3.1,9.29,14.95,11.4,10.5,100,0.2,3.39,100,2.2,4.38,89.5,6.5,8.34,78.9,10.1,11.63,63.2,10.8,14.24,36.8,10.9,11.1
judas_direction,UP,AMD_NONE,15,17.2,9.2,19.2,23.59,15,100,8.25,5.29,11.91,20.02,12.5,10.6,100,0.5,3.37,100,2.3,5.01,86.7,6.1,7.15,73.3,9.1,7.16,60,12.1,10.56,53.3,13.3,8.72
reversal_confirmed,false,AMD_NONE,16,7.8,7.4,14.1,5.34,16,100,8.96,-1.57,9.38,14.37,11.8,10.6,100,0.2,2.74,100,3.3,4.24,81.3,6.5,5.11,75,9.4,5.7,50,10.5,7.77,50,13.6,7.77
reversal_confirmed,true,AMD_NONE,18,20.48,12.6,25.3,22.9,18,100,6.53,9.08,11.4,19.69,12.1,10.5,100,0.4,3.94,100,1.3,5.03,94.4,6.2,9.9,77.8,9.9,13.2,72.2,11.8,15.67,38.9,10.4,12.19
asian_range_bucket,GTE_40,AMD_NONE,34,14.51,10,16.6,18.19,34,100,7.68,4.07,10.45,17.19,11.9,10.5,100,0.3,3.38,100,2.2,4.66,88.2,6.3,7.82,76.5,9.7,9.74,61.8,11.3,12.66,44.1,12.1,9.83