trade_date,daily_bias_alignment,layer4_d1_bias,layer4_bullish_count,distribution_direction,alignment_correct,weekly_majority,weekly_alignment,week1_dir,week2_dir,week3_dir
2025-05-01,CONFLICTED,TRENDING_DOWN,2,DOWN,true,UP,DISAGREES,UP,UP,UP
2025-05-02,CONFLICTED,TRENDING_UP,3,UP,true,UP,AGREES,UP,UP,UP
2025-05-07,ALIGNED,TRENDING_UP,3,DOWN,false,UP,AGREES,UP,UP,UP
2025-05-09,ALIGNED,TRENDING_UP,3,UP,true,UP,AGREES,UP,UP,UP
2025-05-15,ALIGNED,TRENDING_DOWN,2,DOWN,true,UP,DISAGREES,UP,UP,DOWN
2025-05-16,CONFLICTED,TRENDING_DOWN,1,DOWN,true,UP,DISAGREES,UP,UP,DOWN
2025-05-20,CONFLICTED,TRENDING_DOWN,1,DOWN,true,UP,DISAGREES,UP,DOWN,UP
2025-05-21,CONFLICTED,TRENDING_DOWN,2,UP,false,UP,DISAGREES,UP,DOWN,UP
2025-05-23,CONFLICTED,TRENDING_UP,3,UP,true,UP,AGREES,UP,DOWN,UP
2025-05-26,CONFLICTED,TRENDING_DOWN,2,DOWN,true,UP,DISAGREES,DOWN,UP,UP
2025-05-29,CONFLICTED,TRENDING_DOWN,2,FLAT,null,UP,DISAGREES,DOWN,UP,UP
2025-05-30,CONFLICTED,TRENDING_DOWN,1,UP,false,UP,DISAGREES,DOWN,UP,UP
2025-06-02,CONFLICTED,TRENDING_DOWN,2,UP,false,UP,DISAGREES,UP,UP,UP
2025-06-03,CONFLICTED,TRENDING_DOWN,2,UP,false,UP,DISAGREES,UP,UP,UP
2025-06-09,CONFLICTED,TRENDING_UP,3,DOWN,false,UP,AGREES,UP,UP,UP
2025-06-10,CONFLICTED,TRENDING_UP,4,UP,true,UP,AGREES,UP,UP,UP
2025-06-12,CONFLICTED,TRENDING_UP,3,UP,true,UP,AGREES,UP,UP,UP
2025-06-16,CONFLICTED,TRENDING_UP,3,UP,true,UP,AGREES,UP,UP,UP
2025-06-17,CONFLICTED,TRENDING_DOWN,2,DOWN,true,UP,DISAGREES,UP,UP,UP
2025-06-18,CONFLICTED,TRENDING_UP,3,UP,true,UP,AGREES,UP,UP,UP
2025-06-19,ALIGNED,TRENDING_DOWN,2,DOWN,true,UP,DISAGREES,UP,UP,UP
2025-06-23,CONFLICTED,TRENDING_DOWN,2,UP,false,UP,DISAGREES,UP,UP,DOWN
2025-06-24,CONFLICTED,TRENDING_UP,3,DOWN,false,UP,AGREES,UP,UP,DOWN
2025-07-09,ALIGNED,TRENDING_DOWN,2,DOWN,true,DOWN,AGREES,DOWN,UP,DOWN
2025-07-11,ALIGNED,TRENDING_UP,3,FLAT,null,DOWN,DISAGREES,DOWN,UP,DOWN
2025-07-22,CONFLICTED,TRENDING_UP,4,UP,true,DOWN,DISAGREES,DOWN,UP,DOWN
2025-07-23,CONFLICTED,TRENDING_UP,4,UP,true,DOWN,DISAGREES,DOWN,UP,DOWN
2025-07-31,CONFLICTED,TRENDING_DOWN,0,DOWN,true,DOWN,AGREES,UP,DOWN,DOWN
2025-08-05,CONFLICTED,TRENDING_DOWN,2,UP,false,DOWN,AGREES,DOWN,DOWN,DOWN
2025-08-06,ALIGNED,TRENDING_UP,3,UP,true,DOWN,DISAGREES,DOWN,DOWN,DOWN
2025-08-07,ALIGNED,TRENDING_UP,4,DOWN,false,DOWN,DISAGREES,DOWN,DOWN,DOWN
2025-08-13,CONFLICTED,TRENDING_UP,4,DOWN,false,DOWN,DISAGREES,DOWN,DOWN,UP
2025-08-14,ALIGNED,TRENDING_UP,3,DOWN,false,DOWN,DISAGREES,DOWN,DOWN,UP
2025-08-15,ALIGNED,TRENDING_UP,3,UP,true,DOWN,DISAGREES,DOWN,DOWN,UP
2025-09-04,ALIGNED,TRENDING_UP,3,DOWN,false,DOWN,DISAGREES,DOWN,DOWN,UP
2025-09-05,CONFLICTED,TRENDING_UP,3,UP,true,DOWN,DISAGREES,DOWN,DOWN,UP
2025-09-08,ALIGNED,TRENDING_UP,3,UP,true,UP,AGREES,DOWN,UP,UP
2025-09-10,CONFLICTED,TRENDING_UP,3,UP,true,UP,AGREES,DOWN,UP,UP
2025-09-17,CONFLICTED,TRENDING_UP,3,DOWN,false,UP,AGREES,UP,UP,UP
2025-09-18,ALIGNED,TRENDING_DOWN,2,DOWN,true,UP,DISAGREES,UP,UP,UP
2025-09-24,CONFLICTED,TRENDING_DOWN,2,DOWN,true,UP,DISAGREES,UP,UP,DOWN
2025-09-30,CONFLICTED,TRENDING_UP,3,FLAT,null,DOWN,DISAGREES,UP,DOWN,DOWN
2025-10-07,CONFLICTED,TRENDING_UP,3,DOWN,false,DOWN,DISAGREES,DOWN,DOWN,UP
2025-10-08,ALIGNED,TRENDING_UP,3,UP,true,DOWN,DISAGREES,DOWN,DOWN,UP
2025-10-09,ALIGNED,TRENDING_UP,3,DOWN,false,DOWN,DISAGREES,DOWN,DOWN,UP
2025-10-13,CONFLICTED,TRENDING_DOWN,2,DOWN,true,DOWN,AGREES,DOWN,UP,DOWN
2025-10-15,ALIGNED,TRENDING_DOWN,2,DOWN,true,DOWN,AGREES,DOWN,UP,DOWN
2025-10-16,CONFLICTED,TRENDING_DOWN,2,DOWN,true,DOWN,AGREES,DOWN,UP,DOWN
2025-10-17,ALIGNED,TRENDING_UP,3,UP,true,DOWN,DISAGREES,DOWN,UP,DOWN
2025-10-21,ALIGNED,TRENDING_UP,3,UP,true,DOWN,DISAGREES,UP,DOWN,DOWN
2025-10-24,ALIGNED,TRENDING_UP,4,UP,true,DOWN,DISAGREES,UP,DOWN,DOWN
2025-10-29,ALIGNED,TRENDING_UP,4,UP,true,DOWN,DISAGREES,DOWN,DOWN,UP
2025-10-31,ALIGNED,TRENDING_DOWN,2,UP,false,DOWN,AGREES,DOWN,DOWN,UP
2025-11-04,CONFLICTED,TRENDING_DOWN,0,UP,false,DOWN,AGREES,DOWN,UP,DOWN
2025-11-05,ALIGNED,TRENDING_DOWN,1,UP,false,DOWN,AGREES,DOWN,UP,DOWN
2025-11-10,CONFLICTED,TRENDING_UP,3,DOWN,false,UP,AGREES,UP,DOWN,UP
2025-11-13,ALIGNED,TRENDING_UP,3,DOWN,false,UP,AGREES,UP,DOWN,UP
2025-11-26,ALIGNED,TRENDING_UP,4,UP,true,DOWN,DISAGREES,UP,DOWN,DOWN
2025-11-28,CONFLICTED,TRENDING_UP,5,UP,true,DOWN,DISAGREES,UP,DOWN,DOWN
2025-12-02,ALIGNED,TRENDING_UP,5,UP,true,DOWN,DISAGREES,DOWN,DOWN,UP
2025-12-05,CONFLICTED,TRENDING_UP,5,UP,true,DOWN,DISAGREES,DOWN,DOWN,UP
2025-12-09,CONFLICTED,TRENDING_UP,4,FLAT,null,UP,AGREES,DOWN,UP,UP
2025-12-22,ALIGNED,TRENDING_UP,3,UP,true,UP,AGREES,UP,UP,UP
2025-12-23,CONFLICTED,TRENDING_UP,4,FLAT,null,UP,AGREES,UP,UP,UP
2026-01-06,ALIGNED,TRENDING_UP,4,UP,true,UP,AGREES,UP,UP,UP
2026-01-08,CONFLICTED,TRENDING_UP,3,UP,true,UP,AGREES,UP,UP,UP
2026-01-09,CONFLICTED,TRENDING_DOWN,2,FLAT,null,UP,DISAGREES,UP,UP,UP
2026-01-20,ALIGNED,TRENDING_UP,3,UP,true,UP,AGREES,UP,DOWN,UP
2026-01-28,CONFLICTED,TRENDING_UP,4,DOWN,false,UP,AGREES,DOWN,UP,UP
2026-02-05,ALIGNED,TRENDING_DOWN,1,DOWN,true,UP,DISAGREES,UP,UP,UP
2026-02-12,ALIGNED,TRENDING_UP,3,UP,true,UP,AGREES,UP,UP,UP
2026-02-16,ALIGNED,TRENDING_DOWN,2,DOWN,true,UP,DISAGREES,UP,UP,DOWN
2026-02-18,ALIGNED,TRENDING_DOWN,2,DOWN,true,UP,DISAGREES,UP,UP,DOWN
2026-02-19,ALIGNED,TRENDING_UP,3,DOWN,false,UP,AGREES,UP,UP,DOWN
2026-02-20,CONFLICTED,TRENDING_UP,4,UP,true,UP,AGREES,UP,UP,DOWN
2026-02-23,CONFLICTED,TRENDING_UP,3,DOWN,false,DOWN,DISAGREES,UP,DOWN,DOWN
2026-02-27,ALIGNED,TRENDING_UP,3,UP,true,DOWN,DISAGREES,UP,DOWN,DOWN
2026-03-03,ALIGNED,TRENDING_UP,3,DOWN,false,DOWN,DISAGREES,DOWN,DOWN,UP
2026-03-06,ALIGNED,TRENDING_UP,3,UP,true,DOWN,DISAGREES,DOWN,DOWN,UP
2026-03-17,CONFLICTED,TRENDING_UP,3,UP,true,DOWN,DISAGREES,UP,DOWN,DOWN
2026-03-25,ALIGNED,TRENDING_DOWN,2,DOWN,true,DOWN,AGREES,DOWN,DOWN,DOWN
2026-03-27,ALIGNED,TRENDING_DOWN,1,DOWN,true,DOWN,AGREES,DOWN,DOWN,DOWN
2026-03-31,CONFLICTED,TRENDING_DOWN,1,FLAT,null,DOWN,AGREES,DOWN,DOWN,DOWN
2026-04-01,ALIGNED,TRENDING_DOWN,2,FLAT,null,DOWN,AGREES,DOWN,DOWN,DOWN
2026-04-06,CONFLICTED,TRENDING_UP,3,DOWN,false,DOWN,DISAGREES,DOWN,DOWN,UP
2026-04-08,ALIGNED,TRENDING_UP,3,UP,true,DOWN,DISAGREES,DOWN,DOWN,UP
2026-04-13,ALIGNED,TRENDING_UP,4,UP,true,UP,AGREES,DOWN,UP,UP